Acronym,Expansion,Label,F1,F2,F3,F4,F5,F6,F7,F8
SMK,sekolah menengah kejuruan,1,1.0,0.0,-1.0,1.0,1.0,1.0,1,0.5714285714285714
KIB,Kabinet Indonesia Bersatu,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0
Depkeu,Departemen Keuangan,1,0.8112781244591328,1.0,-0.6666666666666666,0.5,1.0,0.16666666666666666,0,0.401611160637019
Muspim,Musyawarah Pimpinan,1,0.8112781244591328,1.0,-0.6666666666666666,0.5,1.0,0.16666666666666666,0,0.401611160637019
DPT,daftar pemilih tetap,1,1.0,0.0,-1.0,1.0,1.0,1.0,1,0.5714285714285714
PUPR,Pekerjaan Umum dan Perumahan Rakyat,1,0.9910760598382222,0.8,0.0,1.0,1.0,0.5,0,0.6130108656911746
Menhub,Menteri Perhubungan,1,0.8112781244591328,1.0,-0.6666666666666666,0.5,1.0,0.16666666666666666,0,0.401611160637019
Wamenlu,Wakil Menteri Luar Negeri,1,0.9456603046006401,1.0,-0.7142857142857143,0.5,1.0,0.14285714285714285,0,0.4106045333102955
Puskesmas,Pusat Kesehatan Masyarakat,1,0.8112781244591328,1.0,-0.7777777777777778,0.5,1.0,0.1111111111111111,0,0.3778016368274952
Disnaker,Dinas Tenaga Kerja,1,0.8453509366224364,1.0,-0.75,0.5,1.0,0.125,0,0.38862156237463374
